,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
1745,TINF2,-0.54123366,-1.5646377,0.11766788397951407,PF4,-4.0777936,-0.62991184,0.5287522821895918,NARS,-0.715868,-1.3320427,0.18284617419906624,CCND2,-1.6463575,-1.3092045,0.19046509990192306,SCFD1,-0.6426605,-0.83819497,0.40192121012733717,WHAMM,-0.6265038,-0.27896604,0.7802708856452848,SMARCD3,-2.0680032,-0.41417867,0.6787432638504272,SERAC1,-22.755398,-0.04289539,0.9657849222450672,GRPEL1,-27.273252,-0.58708256,0.5571482635223794
1746,DERL1,-0.6408496,-1.5740635,0.11547275091559106,ARL4A,-0.26608258,-0.6380503,0.5234409436251375,TMX2,-0.68870133,-1.3320773,0.18283479261165592,FTL,-0.6069469,-1.3219502,0.18618472184711043,RAB1B,-0.48459145,-0.8402516,0.400767325473793,C12orf45,-0.89796174,-0.27993512,0.7795272879490123,CD82,-0.48429346,-0.42043656,0.6741665558055313,ALOX12,-22.927507,-0.04718493,0.96236583754993,PRPF8,-27.297775,-0.5894886,0.5555335367791772
1747,IFIT2,-1.4158576,-1.5788794,0.11436374548242036,RIT1,-1.0035104,-0.64024734,0.5220117910871532,NFU1,-0.90913033,-1.3389359,0.18059157065336207,PTGDR,-2.6592948,-1.3272549,0.1844243980944743,MTIF3,-0.26886022,-0.8551813,0.3924507903513266,RP11-367G6.3,-24.33479,-0.28044072,0.7791394039602376,CA2,-25.2361,-0.42374957,0.6717484519089437,RP1-111C20.4,-22.742167,-0.04718493,0.96236583754993,ZNF32,-27.328445,-0.5943008,0.5523109552615473
1748,ARAP1,-1.6605386,-1.5844585,0.11308942302983689,GALK1,-0.54372424,-0.6410829,0.5214688375656429,POLDIP2,-0.9755603,-1.3392476,0.18049009386358794,MVB12A,-1.955212,-1.3289493,0.18386467696687836,ACP1,-0.23579168,-0.86702603,0.3859277555280569,UNC45A,-0.93207645,-0.28136766,0.7784284262135919,CLU,-25.359226,-0.42374957,0.6717484519089437,RP4-800J21.3,-22.867132,-0.04718493,0.96236583754993,RP11-139H15.1,-27.323427,-0.5943008,0.5523109552615473
1749,PKIG,-2.5818887,-1.5846934,0.11303601381895438,NAT9,-0.5362958,-0.6414233,0.521247717621212,SCFD1,-1.0376573,-1.3402175,0.18017465914799569,MYO9B,-1.166022,-1.3422846,0.17950375627107795,P2RX5,-1.2225487,-0.8671022,0.38588602218246293,FBXW4,-2.681562,-0.286845,0.77423099757435,GRAP,-1.3543913,-0.42848244,0.6682999078556292,PRRG4,-22.743122,-0.04718493,0.96236583754993,S100A8,-1.3803222,-0.5946445,0.5520811224510256
1750,UBE2E1,-0.49141064,-1.599258,0.10976328863546626,USP7,-0.8928709,-0.6434347,0.5199420856803115,SHARPIN,-0.7973105,-1.344478,0.17879384991096736,C14orf166,-0.22167642,-1.3521202,0.176336884201865,RAB34,-1.0285709,-0.87094885,0.38378207379178153,THEM4,-0.28328893,-0.288109,0.7732632917945585,HELQ,-1.2691188,-0.433636,0.6645527741706689,ZNF404,-22.875511,-0.04718493,0.96236583754993,GGNBP2,-0.93183666,-0.5948164,0.551966223659059
1751,RETN,-2.6582577,-1.599346,0.10974372424889073,HDAC9,-3.349149,-0.64597213,0.5182973900567931,NT5C,-0.62589824,-1.3462793,0.17821246633151067,RAB7A,-0.24215327,-1.3544041,0.17560750032026617,AP003733.1,-1.1982223,-0.87609047,0.38098085586360353,RCL1,-1.4001993,-0.29017356,0.7716834640717094,TUBB1,-25.426394,-0.44036722,0.6596711685714309,ARG2,-22.759167,-0.04718493,0.96236583754993,LYPLA1,-1.7538679,-0.5973943,0.5502441524201533
1752,PTGDR,-2.0578864,-1.5994929,0.10971112306278231,SMPDL3A,-24.63103,-0.64686954,0.5177163738658851,SPIB,-3.3305647,-1.3487732,0.17740979800824574,AKR1C3,-26.500893,-1.3588614,0.1741905108219528,RASGRP4,-25.50673,-0.88298404,0.3772449071741659,KLC4,-24.08632,-0.2912269,0.7708777936426429,PITPNM1,-24.99347,-0.44036722,0.6596711685714309,PRELID2,-22.802967,-0.04718493,0.96236583754993,BTN3A2,-1.3379784,-0.5991129,0.5490975767107732
1753,STX4,-0.6922412,-1.6003444,0.10952218710766126,GOSR2,-0.82447624,-0.64885,0.5164353247910483,DEXI,-1.7931672,-1.3540384,0.17572412296540307,PLEKHF1,-2.253716,-1.3591193,0.1741087982750673,RP11-349A22.5,-0.43690768,-0.8843932,0.37648399459177107,ZNF32,-0.43281034,-0.29733625,0.7662098039316444,TMEM219,-0.17287529,-0.44052497,0.6595569285326681,PALLD,-22.846262,-0.04718493,0.96236583754993,CLEC2B,-27.38806,-0.5991129,0.5490975767107732
1754,ATP5C1,-0.27169493,-1.602723,0.10899583177239255,SIK1,-0.644235,-0.65117085,0.5149361891729289,MPC2,-0.3874489,-1.3575369,0.17461066068061648,TIMM17A,-1.1233283,-1.3604822,0.17367736463843164,RARA,-1.8714277,-0.88755435,0.37478053055364735,AC113189.5,-2.5595515,-0.29742053,0.7661454767343243,GGA2,-0.6042525,-0.44105086,0.6591761857550369,CCL2,-22.884474,-0.04718493,0.96236583754993,NARS,-27.316479,-0.5991129,0.5490975767107732
1755,SPIB,-2.8206677,-1.6062467,0.1082197259112833,MBOAT7,-0.5471429,-0.6535536,0.5133994319028923,C21orf33,-0.7482061,-1.3575716,0.17459966269652993,CHIC2,-1.0768148,-1.3613664,0.17339794320533508,CDC40,-0.5476014,-0.9074352,0.36417671333884183,MNAT1,-0.864641,-0.2982632,0.7655022935005956,RARA,-0.91516674,-0.4446268,0.6565894808780095,ASXL2,-0.3981971,-0.04767238,0.9619773478082906,LAT2,-27.425198,-0.5991129,0.5490975767107732
1756,VTI1B,-0.5344503,-1.6135583,0.10662326336176561,CARHSP1,-0.29813805,-0.6574217,0.5109097901350244,IGLL5,-3.8064914,-1.3644648,0.17242134083258698,PAFAH1B1,-1.3412181,-1.3614032,0.1733863079408543,CDV3,-0.44256666,-0.9084254,0.36365350424504217,AC093323.3,-0.7282576,-0.3000328,0.7641521353305867,CEP85L,-1.8935454,-0.4455208,0.6559434457308734,CXCL10,-22.933794,-0.05147447,0.9589474448119477,OXLD1,-27.335264,-0.601519,0.5474943535439392
1757,EPN1,-1.349332,-1.6238064,0.1044171339898035,MNAT1,-0.91508824,-0.66132075,0.5084066304039898,GOLT1B,-1.5900961,-1.3651922,0.1721926587201349,SLBP,-0.6274192,-1.367776,0.17138217780992537,TMEM208,-0.38918725,-0.91211975,0.36170568408944204,COL6A2,-24.340479,-0.30201307,0.7626420939430053,GMPR,-25.115822,-0.44867602,0.6536653807491277,SEPT5,-23.389719,-0.05147447,0.9589474448119477,MTERFD2,-27.375893,-0.601519,0.5474943535439392
1758,SMIM12,-0.5613043,-1.6270071,0.10373559247519265,CTD-2267D19.2,-24.913496,-0.66345596,0.5070385826524667,MRPL19,-1.1742471,-1.3676862,0.17141032834471637,PRNP,-0.7861797,-1.3734123,0.16962423471996002,SIVA1,-0.20965531,-0.92156506,0.35675549269550033,POMT1,-1.8676327,-0.3047939,0.760523135592187,CD72,-0.96067816,-0.44899154,0.6534377512027119,ANKRD22,-22.942238,-0.05147447,0.9589474448119477,ILF3,-27.36209,-0.6039251,0.5458934490433393
1759,GADD45B,-0.32881308,-1.6324688,0.10258076301191504,CHN2,-24.914982,-0.66345596,0.5070385826524667,MRPS33,-0.7083475,-1.3774197,0.16838251448616082,PRR5,-1.7043223,-1.4005246,0.16135627954691567,CHIC2,-0.7707975,-0.9244596,0.3552470836266737,MLLT10,-0.7429946,-0.3058051,0.7597530495958188,IL27RA,-0.3285567,-0.45283043,0.650670846549904,RP3-325F22.5,-22.94884,-0.05147447,0.9589474448119477,ILF3-AS1,-1.4156647,-0.6042688,0.5456649380238059
1760,RELT,-1.9083691,-1.6365211,0.101730581303784,EPN1,-0.5508579,-0.6635797,0.5069593348905659,HLA-DOB,-2.714143,-1.3792902,0.16780528394947958,HAVCR2,-3.2244785,-1.4018877,0.1609488151760966,DESI1,-0.6062017,-0.92541176,0.35475177740887376,POLR3E,-1.3121216,-0.30749044,0.7584701023941702,GSTZ1,-1.921322,-0.45356667,0.6501407555017765,AC092295.7,-22.99036,-0.05147447,0.9589474448119477,SMDT1,-0.6531205,-0.6059874,0.544523095128858
1761,CTNNBIP1,-1.3779348,-1.6414249,0.10070925083914599,RAB1B,-0.43267733,-0.6750293,0.4996571528102858,ALG5,-1.2692053,-1.3856639,0.16584958149115736,PARL,-0.60798407,-1.4109864,0.15824860758442494,PARL,-0.35289773,-0.93002015,0.35236066170419134,FXN,-0.31041548,-0.3077011,0.7583097806619439,TASP1,-2.0286956,-0.47102568,0.6376223906036216,SLC22A18AS,-22.8945,-0.05147447,0.9589474448119477,ADD1,-27.381853,-0.60633117,0.5442948691101203
1762,CARHSP1,-0.56738085,-1.6447136,0.10002887628402714,CTBP2,-1.9020962,-0.67818564,0.4976539821782293,MRPL1,-2.3261917,-1.394947,0.16303180180537935,HAGH,-0.47486708,-1.4166963,0.15657174879499525,UTP6,-1.1008098,-0.93005824,0.3523409430139518,ZNF559,-2.5288076,-0.30824885,0.7578929928094617,KLHL6,-25.042696,-0.47360247,0.6357834117638103,TMTC2,-22.899689,-0.05147447,0.9589474448119477,PTPN7,-27.430323,-0.60633117,0.5442948691101203
1763,CCDC12,-0.3039321,-1.6466223,0.09963569999111963,UQCRC1,-0.21750063,-0.69310105,0.4882461430468027,PACS1,-2.2312663,-1.3999351,0.16153275863596672,GSN,-2.6170511,-1.4267898,0.1536405093371664,RBM7,-0.91766816,-0.93508554,0.34974420848542065,KRBOX4,-0.87817603,-0.31018698,0.7564187707864799,SAT2,-0.16446707,-0.47491717,0.6348460207370432,RP11-5C23.1,-23.02005,-0.05147447,0.9589474448119477,ORMDL2,-27.360418,-0.6135494,0.5395131351939556
1764,KLRB1,-1.5887736,-1.6526126,0.09840973224262783,HDLBP,-0.66128284,-0.69319385,0.48818788988564255,GALT,-1.4604583,-1.4005586,0.16134611241400632,FCGR1A,-4.382728,-1.4273791,0.15347064017340264,BABAM1,-0.29709533,-0.9387799,0.3478437645191701,PLEKHA1,-0.6139167,-0.312715,0.7544972047937138,HCCS,-0.86419404,-0.47565338,0.6343213372504255,GFI1B,-22.896751,-0.05147447,0.9589474448119477,TRABD2A,-27.402668,-0.61836153,0.5363370420096114
1765,SUMO3,-0.3691097,-1.6547562,0.09797396604028166,HDAC5,-0.94557405,-0.6937199,0.4878578594535685,CSNK1A1,-0.46891814,-1.4039879,0.16032246847752396,IL17RA,-2.752823,-1.4308419,0.15247554173284092,PTAFR,-25.702053,-0.9443024,0.34501516466439464,ZNF528,-24.366413,-0.31279925,0.7544331786842193,ARPP19,-0.23626338,-0.4792819,0.6317380852919297,FCGR3B,-23.05131,-0.05576401,0.9555298067766036,DNAJC7,-1.8078854,-0.6195646,0.5355444914549086
1766,PARVB,-1.7023292,-1.6549911,0.09792630471431028,SMARCD3,-1.7801472,-0.6938437,0.4877802227328466,CCL4,-1.0526792,-1.4090798,0.15881157909732757,CSNK2B,-0.30696955,-1.4383199,0.15034331508655435,GNS,-1.4872676,-0.94540685,0.3444512098788256,C8orf44,-24.300592,-0.31279925,0.7544331786842193,ACBD3,-25.223639,-0.4819113,0.6298689668687086,IL24,-23.071684,-0.05576401,0.9555298067766036,NDUFA12,-1.3323072,-0.620252,0.5350918705075896
1767,WDR45,-1.0020432,-1.6556665,0.09778938158246234,CXCL2,-3.7643006,-0.69650495,0.4861126469355699,PPP2R3C,-1.1294,-1.41722,0.1564186324532981,RAB2A,-0.4844488,-1.4418563,0.14934292359128046,PRKCD,-1.0703876,-0.94613045,0.34408204138611886,PLD6,-24.41887,-0.32358545,0.7462519126255622,VPS13C,-0.8222171,-0.48338374,0.628823293780402,URB2,-23.01988,-0.05576401,0.9555298067766036,CYB5B,-27.400604,-0.6207676,0.5347525314153159
1768,CAT,-0.5326961,-1.6568998,0.0975397428069479,SNAPIN,-0.29804826,-0.6973714,0.4855703813767348,TMBIM4-1,-0.21781373,-1.431803,0.15220021931007333,ABT1,-0.68291324,-1.448045,0.14760447332959237,PRKACA,-2.0697973,-0.949482,0.3423755038253249,PDIK1L,-24.394938,-0.32358545,0.7462519126255622,PNRC1,-0.17690799,-0.4848036,0.6278156707580499,RP11-162G10.5,-23.071587,-0.05576401,0.9555298067766036,LBR,-27.41813,-0.6255798,0.5315906104818175
1769,MRPL21,-0.42933694,-1.6741071,0.0941095459512934,IGJ,-1.9771993,-0.7005278,0.4835977570165303,PPIE,-0.52836365,-1.4353015,0.15120120026250278,THOC7,-0.3801815,-1.4534233,0.14610627582291513,NOP58,-0.47156957,-0.95195764,0.3411184745353917,PARP1,-0.50728065,-0.32514438,0.7450718015852844,GALK1,-0.7592834,-0.4855924,0.6272561796916203,IQCE,-23.103731,-0.05576401,0.9555298067766036,CD79A,-3.2599547,-0.634001,0.5260801451106117
1770,PMF1,-0.5179767,-1.6771904,0.09350526223160555,RAMP1,-25.230236,-0.7132152,0.47571263526347596,MAGEH1,-2.0771878,-1.4395621,0.14999132945345167,RETN,-26.459366,-1.461417,0.14390104287181626,PAICS,-25.7545,-0.9688297,0.3326301728220885,FBXO33,-1.069645,-0.3261977,0.7442747676491215,SMARCA4,-0.60108316,-0.48664415,0.6265105249530973,AC147651.3,-23.264744,-0.05576401,0.9555298067766036,ITSN2,-27.45338,-0.6352041,0.5252953256301344
1771,RP11-139H15.1,-0.7939124,-1.6942215,0.09022319029389113,TIMMDC1,-0.33998045,-0.7149171,0.47466026459137733,ITSN2,-0.79701746,-1.4410516,0.14957011288554894,MBOAT7,-2.3760262,-1.4679741,0.1421112701889835,CWC15,-0.29000753,-0.9721432,0.33097933286061076,CXXC1,-0.63896567,-0.32645053,0.7440835202177334,MRPL21,-0.19098595,-0.49253395,0.6223419272261336,FCAR,-23.168201,-0.05576401,0.9555298067766036,C14orf1,-27.439356,-0.6424223,0.5205990220443616
1772,TMEM208,-0.63177204,-1.7084925,0.08754499367945466,ISY1,-0.4379506,-0.7149171,0.47466026459137733,RBM25,-0.49546197,-1.4448272,0.14850642183726692,IFIT1,-1.2859643,-1.4684529,0.14198122932934507,PSMC4,-0.29496133,-0.9781988,0.3279759989398411,BOLA1,-1.0996907,-0.32725105,0.7434780075239285,FKBP5,-0.15972403,-0.49295464,0.6220446310126354,CLEC1B,-23.242579,-0.05576401,0.9555298067766036,RALY,-1.1064298,-0.6443128,0.5193726223182553
1773,MYO9B,-1.214183,-1.7271681,0.08413747871176022,STK32C,-1.2572447,-0.723365,0.469455648648595,DIMT1,-1.2789767,-1.4513047,0.14669502819507288,BTN3A2,-0.33921432,-1.4690423,0.14182130453059727,RIC3,-0.58077985,-0.980941,0.32662183319363236,TSSC1,-0.600392,-0.33011612,0.7413122115303341,KIAA0125,-1.8361824,-0.4935857,0.6215988022959806,KCNE1,-23.009281,-0.05576401,0.9555298067766036,TCL1A,-28.15466,-0.6448284,0.5190384086607385
1774,DIAPH1,-0.9318621,-1.7332171,0.0830570879041715,SH3GLB1,-0.1906726,-0.72738785,0.46698839380623736,PKIG,-3.7639802,-1.4516858,0.14658900426062152,PQBP1,-0.54338795,-1.4734997,0.14061635002219494,MID1IP1,-0.39655122,-0.9812076,0.3264903722093372,NR3C1,-0.5094633,-0.33268628,0.7393711068182875,BCL2A1,-1.365456,-0.49374345,0.621487366805903,LAMP3,-23.156572,-0.05576401,0.9555298067766036,TMX2,-27.457724,-0.64723444,0.5174802146997974
1775,CD72,-2.7661774,-1.7514522,0.07986804420817845,KLF13,-0.4180828,-0.7300491,0.46536017063515644,MAEA,-1.223614,-1.4557039,0.14547449949125296,FUS,-0.34938303,-1.4795042,0.13900561197272793,LDLRAP1,-0.48039085,-0.9828453,0.32568358053093316,ZNF493,-1.4981145,-0.33272842,0.7393392992200076,PTAFR,-2.0739276,-0.4952685,0.6204106048741211,TNFSF10,-0.4280774,-0.0558615,0.9554521424474003,GZMH,-28.174593,-0.64723444,0.5174802146997974
1776,MID1IP1,-0.58797014,-1.7542711,0.07938405194056493,LTB4R,-1.2220634,-0.74044657,0.4590290838991572,TCEAL8,-0.4891499,-1.460588,0.14412854992719298,MID1IP1,-0.63212174,-1.4834826,0.1379462252854452,ECHDC1,-0.4411051,-0.9844449,0.32489680410349997,N4BP2L1,-0.39775503,-0.33845857,0.7350176409530429,YPEL2,-25.250273,-0.49852893,0.6181112915128706,CMTM5,-23.578157,-0.06005355,0.9521129861477581,NOP58,-27.48051,-0.64964056,0.5159244454173866
1777,APOBEC3B,-5.2547555,-1.7572957,0.07886742337294132,EMILIN2,-1.3879496,-0.74152964,0.45837238268381864,MFSD10,-0.8557609,-1.4642597,0.14312300309292958,CTSS,-0.359744,-1.4883451,0.13665988328635573,SNX9,-1.7007829,-1.000898,0.3168761082755137,CYB5B,-0.60011375,-0.3390906,0.7345414978857181,PPP1R14A,-25.506899,-0.5068377,0.6122686776764574,AC074138.3,-23.29518,-0.06005355,0.9521129861477581,AQP3,-1.5779544,-0.6498124,0.515813411959269
1778,POLR2E,-0.5099047,-1.7604376,0.0783336315862507,PILRB,-0.76161975,-0.75099874,0.45265342916056717,POLR2I,-0.5399929,-1.468936,0.14185015786258823,RNF139,-0.6884471,-1.5009068,0.13337967580673118,SAT2,-0.32525334,-1.0103053,0.3123490645455448,FNBP4,-0.60774976,-0.3394698,0.7342558610087004,AIM2,-25.281788,-0.5068377,0.6122686776764574,EARS2,-23.177229,-0.06005355,0.9521129861477581,HLA-DQA1,-1.882537,-0.6517029,0.5145928626933248
1779,MRPL43,-0.45972276,-1.7609662,0.07824412445687821,GUSB,-0.3127163,-0.7556095,0.4498833666634594,TMEM87A,-1.4994806,-1.4692824,0.14175622004732535,SCP2,-0.31777516,-1.5070218,0.13180506998820465,DDX17,-0.2593415,-1.0109527,0.3120390617753914,UBAC2,-0.36687335,-0.34001753,0.7338433393276336,FCGR1B,-25.231516,-0.5068377,0.6122686776764574,TBXA2R,-23.334938,-0.06005355,0.9521129861477581,TNFSF13B,-2.6560614,-0.6520466,0.5143711060331222
1780,IFT20,-0.62623197,-1.773534,0.07614025652662375,CTNNBL1,-0.40884894,-0.76133424,0.44645743674589844,NPRL2,-2.1243877,-1.4767298,0.13974809629088394,ITGB7,-0.6882936,-1.5196202,0.1286064529836728,TMBIM4-1,-0.21200414,-1.0125524,0.31127404221556976,TTPAL,-2.8232162,-0.34098658,0.7331136815334269,TTC3,-0.17132896,-0.5137267,0.6074430899088757,ZNF175,-23.243612,-0.06005355,0.9521129861477581,SMAP2,-2.5094557,-0.65359336,0.5133738162624434
1781,SPPL2A,-1.8784544,-1.7799941,0.07507691873583563,CA2,-4.0025654,-0.76291245,0.44551560904256793,MARCKSL1,-0.36308298,-1.4786348,0.1392379234134776,ANAPC13,-0.84791833,-1.528498,0.12638892589984874,METTL21A,-0.81039345,-1.0130093,0.3110556926048431,PRPS2,-0.71293366,-0.3416186,0.7326379475929649,QSOX1,-1.3608259,-0.51556724,0.6061566896021207,LINC00342,-23.219578,-0.06005355,0.9521129861477581,ANAPC13,-27.433332,-0.6544527,0.5128202017303569
1782,CCDC115,-0.50105363,-1.7800529,0.07506730793593554,VPS25,-0.540152,-0.7702773,0.4411354134496899,AKR1C3,-26.536621,-1.4797087,0.13895100397964744,MTCH2,-1.1772484,-1.5354604,0.12467079141177966,CASP4,-0.18298805,-1.0167037,0.3092944101737902,ACADM,-0.5821091,-0.34220845,0.7321940219049489,PAICS,-2.5434742,-0.5164086,0.6055690270750904,TMEM40,-23.740097,-0.06005355,0.9521129861477581,HPRT1,-27.447788,-0.65685874,0.5112717376561453
1783,SWAP70,-2.286179,-1.7845455,0.07433505455441256,LAMTOR5,-0.16614626,-0.7706796,0.4408968718765567,LRBA,-1.9538981,-1.4842464,0.1377435631154845,PHF5A,-0.4932285,-1.5437119,0.12265813248630363,NRGN,-26.062067,-1.030148,0.3029405263203082,TCF12,-1.4601899,-0.34237698,0.7320672024454544,CLEC10A,-25.408474,-0.5234554,0.6006574047677973,SARDH,-23.103676,-0.06005355,0.9521129861477581,EMG1,-27.455088,-0.65685874,0.5112717376561453
1784,MTIF3,-0.72149247,-1.7961444,0.07247155282983944,QSOX1,-1.1951368,-0.77603304,0.4377294796318546,EIF2S1,-0.84099966,-1.4869483,0.13702848036008894,SH3GLB1,-0.62369657,-1.5446697,0.12242617393124683,TINF2,-0.37990838,-1.0311002,0.3024938491242677,DNAJA3,-0.57064545,-0.3470117,0.7285825458669423,LSM6,-0.1659021,-0.52987105,0.5962013517773465,ILF3-AS1,-0.5104781,-0.063465685,0.9493956860540979,PPIG,-1.5076436,-0.6572025,0.5110507280034728
1785,PDHB,-0.5289823,-1.8025165,0.07146419287115176,TMEM189,-0.8598892,-0.7829956,0.4336296893883207,PDZD11,-1.4046867,-1.5041639,0.1325391889280997,CTNNBIP1,-1.8634043,-1.5572681,0.11940683706387915,APOBEC3B,-2.8496332,-1.0325855,0.30179790791536154,TASP1,-1.276582,-0.3502981,0.7261149969209358,TNNI2,-25.329504,-0.5317642,0.5948893345551571,INTS2,-23.328064,-0.06434309,0.9486970455841978,SMIM14,-27.544538,-0.6616709,0.5081821505999189
1786,HLA-DOB,-2.8276331,-1.8044544,0.07116009264150326,PRKACA,-1.169678,-0.7915054,0.4286491123523277,MTERFD2,-0.94777745,-1.5065539,0.13192503663755986,RBPJ,-1.0395552,-1.558889,0.11902265745827303,FXN,-1.0645871,-1.0327379,0.30172658963801047,MOCS2,-1.152693,-0.3505509,0.7259253027602335,NFE2L2,-0.6821355,-0.5324478,0.5944158748177564,RBM26-AS1,-23.401266,-0.06434309,0.9486970455841978,ARHGDIA,-0.8438209,-0.664077,0.5066410377302377
1787,EWSR1,-0.42850718,-1.8134986,0.06975495350593164,CEPT1,-0.7178685,-0.79401195,0.4271884742704475,AATF,-0.8195593,-1.5158025,0.12956929186036673,TRAPPC3,-0.54622406,-1.5807337,0.11393895793920748,C5orf15,-1.3194518,-1.0341852,0.3010496255699806,PDE6B,-2.650105,-0.35164636,0.7251034891145851,YTHDC1,-0.63839155,-0.535866,0.5920511639213923,HIST1H2BJ,-23.547546,-0.06434309,0.9486970455841978,RBM4,-27.503489,-0.66648304,0.5051023853137175
1788,MPP1,-1.4662513,-1.8152604,0.06948389343934572,PTGDR,-0.999258,-0.7958377,0.42612638056878094,NONO,-0.53427356,-1.523146,0.12772218287505716,NUDT5,-0.76649714,-1.5900167,0.11183104812247084,UBE2D1,-0.54684734,-1.042069,0.29737972994500517,RAMP1,-2.8141482,-0.35173064,0.7250402857794591,PPIF,-1.1074908,-0.5409144,0.5885665889181985,AP001189.4,-23.677776,-0.06434309,0.9486970455841978,PSMD14,-27.475199,-0.66648304,0.5051023853137175
1789,TMED4,-0.5182554,-1.8391922,0.06588692016722025,COLGALT1,-1.3116341,-0.8038524,0.421482229717012,PLRG1,-1.4235957,-1.5263327,0.12692700739445753,CAP1,-0.32197532,-1.5921532,0.11135027647414493,CSNK1A1,-0.300808,-1.0432876,0.2968150832238484,MPP6,-24.549192,-0.35594398,0.7218825156285149,C18orf21,-1.0815871,-0.544911,0.5858147031428778,SPTSSB,-23.47681,-0.06434309,0.9486970455841978,FAM96A,-27.49475,-0.66648304,0.5051023853137175
1790,MAF1,-0.40211603,-1.8537568,0.06377395974536793,PPBP,-2.3136027,-0.81199086,0.4167968737642084,FNTA,-0.59006345,-1.5304549,0.12590418676256032,CSRNP1,-0.8779419,-1.6014731,0.10927216731164487,UBE2E1,-0.4705185,-1.0473248,0.2949498153105259,RP11-727F15.9,-1.2496718,-0.3612528,0.7179104689805433,SLC40A1,-1.4212139,-0.5478559,0.5837908268474767,GP1BA,-23.449621,-0.06434309,0.9486970455841978,LYAR,-1.0359167,-0.66785794,0.5042242619669466
1791,POLR3K,-0.7772817,-1.8687912,0.06165186396227072,GMPR,-3.878046,-0.8120837,0.41674360645604414,PLEKHF1,-3.0105178,-1.5355121,0.12465808211172892,SUCLG2,-0.7356117,-1.6124507,0.10686389975017614,UQCRC1,-0.2648592,-1.047439,0.29489713924286165,KIR3DL2,-2.704894,-0.3623904,0.7170603029412546,C14orf166,-0.2218041,-0.55232584,0.5807251102971613,INVS,-23.3542,-0.06434309,0.9486970455841978,EMB,-27.536957,-0.66888916,0.5035661983154565
1792,FCRLA,-3.7077785,-1.8913136,0.058582504987148454,IRF9,-0.3477948,-0.826504,0.4085182709370898,PSMD14,-0.8713705,-1.5409158,0.12333727884943409,ADSL,-0.8217605,-1.6143663,0.10644800788426259,ODC1,-0.63301563,-1.0536089,0.29206199091176954,PURA,-2.6075156,-0.3626432,0.7168714247082963,EIF5B,-0.21890092,-0.55311465,0.5801848850037145,MUM1,-1.6729696,-0.065707944,0.9476103501113762,CSRNP1,-27.47564,-0.6712952,0.5020324816640752
1793,FAM32A,-0.5889988,-1.8985665,0.05762150215280276,FCER1A,-4.2409477,-0.8296913,0.4067133559081265,FCRLA,-4.6861663,-1.5423014,0.12300037760602883,GPR171,-5.0798173,-1.6358794,0.10186484166605933,ARHGAP24,-26.023867,-1.0546753,0.29157382758302675,CHD7,-1.5699055,-0.36605603,0.7143232675321423,NCKAP1L,-0.14590104,-0.5549027,0.5789612471338499,ZNF121,-23.435766,-0.068632625,0.945282047696188,RGS1,-27.646908,-0.6737013,0.5005012402516884
1794,FAM96A,-0.8620417,-1.9082566,0.056358057273320716,LINC00936,-0.2597919,-0.8459992,0.39755320703643615,SMCHD1,-0.7824622,-1.5427864,0.12288263212096681,CDV3,-0.9738128,-1.6440941,0.10015676532267084,OXLD1,-0.63251424,-1.0590172,0.2895919699104059,JAKMIP1,-24.542007,-0.36673015,0.7138203033065862,NRGN,-2.501164,-0.55495524,0.5789252761408985,PDZD4,-23.503777,-0.068632625,0.945282047696188,PRNP,-27.513536,-0.67610735,0.49897247893387964
1795,GALK1,-2.1522923,-1.9126612,0.05579143499457893,CDC40,-0.49947548,-0.85800576,0.39088929241075476,LMAN2,-0.3516093,-1.5461117,0.12207760473948771,CARS,-2.296207,-1.6499144,0.09896043905044324,ZNF467,-3.7156024,-1.0616832,0.28837954533671184,URGCP,-1.6981632,-0.36706725,0.7135688678053926,ST3GAL2,-2.4145358,-0.5557966,0.5783498830665239,USP30,-23.512926,-0.068632625,0.945282047696188,NONO,-1.9046073,-0.6779978,0.49777305232979085
1796,NCOA4,-0.65322226,-1.9218816,0.05462066166410948,IFIT1,-0.37473774,-0.86029565,0.3896260868738636,U2SURP,-1.0638496,-1.5473586,0.12177678446314022,IFI35,-0.487617,-1.6906935,0.0908953500862493,MFSD1,-1.2437803,-1.0623688,0.2880683329555206,SMARCC2,-1.1443474,-0.37347153,0.7087975318016975,CHD2,-0.37684596,-0.5596881,0.5756921938447856,NMNAT3,-23.398687,-0.068632625,0.945282047696188,IL27RA,-27.557526,-0.6833256,0.494401123555264
1797,PHACTR1,-3.2944229,-1.9378556,0.052640836311676,CD9,-2.1205642,-0.8761394,0.3809542666496496,SMDT1,-0.25260302,-1.5503722,0.12105219492458791,POLR2I,-0.6727337,-1.694009,0.09026359046465826,TREX1,-0.4620328,-1.0661011,0.2863779287832473,YTHDF2,-0.48881695,-0.3755782,0.7072304966118048,PSMG2,-0.26755297,-0.56794435,0.5700727643114685,GP9,-24.133366,-0.068632625,0.945282047696188,SRA1,-27.50083,-0.68573165,0.4928823304401121
